,screen_name,name,description,female
5867,sqlblues,Tim Cooke - On the hamster wheel of doom.,"Centrist, libertarian, conservative, Christian. Passionate about proactive, societal, child protection.",2
5880,TessWhiteFCIPD,Tess White,Fellow of the Institute of Personnel & Development and Conservative & Unionist candidate for Dundee West in GE2019.,
5953,justicerebooted,Justice,Unaddressed Corruption by the UK Authorities green lighted by the #UKGovernment. They even prefer me to create 1000s of T-Shirts rather than to address this.,
5962,smp1509,One man and his dog 🤔 🇬🇧 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Righter of wrongs,
5969,BazzaGrumpy,Grumpy Old Man,"Crystals and Gemstones business owner, dog lover, musician & Brexit supporter.  Tweets or retweets here aren't necessarily my view.",
5974,FrankOB23745755,Frank O’Brien,,
5991,Ben_78_,Ben_78,"United Kingdom, Consultant, Husband, Father, Nerd",
5999,Lookgoodbad,shellian,,
6018,UG06076150,UG,believe in all being able to have an identity and a right to belong. don’t believe in the elite imposing an identity,
6063,John5e1,John5e,"Armed forces veteran electron wrangler, patriot and arch gammon. No surrender to the EU and globalist cabals. No DMs please.",2
6129,H8che,Helen Ruth Botham,"love to travel, love to have fun and laugh. Starting to get Twitter a little 🤪",1
6147,CallandBernard,Bernard Calland,"Grumpy old man who has seen it all, but has promised himself not to die before he sees the end of Government by the Tory Party.",2
6158,MrRStephenson1,Mr R Stephenson,,2
6161,TeliYogesh,Yogesh teli,,
6178,WendyM53,WM53,"Proud mum. Proud Conservative voter. Boris is #MyPM, Conservative's are #MyGovernment. Will never bow down to the political correctness crazy world we live in.",
6440,Laurencewinston,Laurence winston,Lifelong Spurs supporter OAP Past President/secretary of Hendon Rotary Club Retired. Member of Cockfosters FC Big Cricket fan of Middlesex Southgate CC,2
6488,suzanneT44,Sue Thomas,stopped dreaming of the quiet life. No DM’s 💁‍♀️ 🇬🇧🍷💙,1
6518,andyhar90372463,Andy Harding,"Born in Cornwall - worked in London then moved back 'home' to the South West. Enjoys walking, reading, politics philosophy and cricket. All views are my own.",
6637,motifpower,Edwin Allen,Nurtured on school milk. Educated by state interference & the blessed OU. Kept alive by state medicine! Hate privilege!  N.B The poor are a product of the rich!,2
6656,val_leave,Valerie,Mother and full time legend,1
6743,KAYDM49,Andy,"Married with twins. Have watched West ham live 4 over 50 yrs. Loved Upton Park, hate London Stadium. Still a ST holder block 139. ⚒️ #WHUFC #EssexCCC #BarmyArmy",
6748,Tim267626,Tim Tozer,Ex MD of Hosefast Hydraulics Plymouth. Lived in Cornwall most of my life. Love our chocolate lab who keeps me fit. Now retired and expert in roses !,2
6814,ArmitageScott,Scott Armitage,Married to Sara with 2 wonderful kids. Love footy follow the blades 🔴⚪️⚔️. Speedway Sheffield tigers 🐯🏍💨and mountain biking🚵🏻. Proud Freemason 📐⚒🌞🌛,2
6827,yjpeters,Yvonne,,1
6836,MAGAnNoHate,⭐⭐TrumpAlwaysyou⭐⭐ (Text TRUMP to 88022),,
6839,InterEdFounder,Ma Elena Bartholomew,"Founded Inter-Ed in 1980, the pioneer in Study Abroad in the Phils. Co-founded Southville Foreign University with Roger Bartholomew and Dr. Genevieve L. Tan.",
6849,1JaniceWard,Janice Ward,"Champion against the abuse of those without a voice. Children, Animals & the Elderly.",1
6892,chrissuddes,Chris Suddes,"head of digital @chowdenechurch, worship co-ordinator, christian, grandpa, retired business leader, web designer, petrol head, paraplegic.",2
7010,JAshEdwards,Jonathan Ash-Edwards,Mid Sussex Council Leader • Conservative Councillor & Campaigner • School Governor & Academy Trust Chairman • Business owner,2
7036,BrianKeter,Keter Brian,"A Youth Leader, Community Mobilizer, Mentor ,humanitarian& champion of Social change.",
7062,grahamwfc,Graham,"Lifelong Watford fan, ⚽️occasional birder, butterflies🦋,insects🐝🐞, snooker pool 🎱 and darts🎯",2
7095,S_Fitzy_87,Sean Fitzgerald,,2
7263,Lisavitloo,Lisa Vitler,,1
7266,BeccaGundry,Becca Gundry,,1
7291,DeryckCheyne,Deryck M Cheyne,"Born in the Granite City.
 Worked in the publishing and printing industry exclusively. 
Try to see both sides of the argument but frequently fail!",
7297,AmemeHack,Ameme Hack,"Creator of BackBurgon, Avid4Javid, and @Number10Doggo. Policy Researcher at the British Conservation Alliance.
''a real specimen''- @pawoon_4_pasta",
7379,Pawoon_4_Pasta,Anna Ostrowski 🦔💙,🇬🇧🇵🇱🇲🇳🇸🇦 I survived ISG Jubail 2003-19 ~ I politic. I draw. Conservative💙~ We’re in this together ~ Heseltine/Fowler are my heroes 💫 #RoryForLondon 🦔,1
7382,1HaroonRashid,HR,Entrepreneur| Organic Natural Cosmetics| Business Owner Argan Foundation| Logistics and Travel Tourism| Founder of OntourMarrakech,
7402,PaulAnthony2688,Paul Atkinson,"Statutory Consolidation modelling specialist. DWH, BI and CPM consultant. Custom UI on a Custom Model.",2
7414,BelmontTories,BelmontConservatives,"Belmont Ward's 3 Conservative Councillors are Cllr Mina Parmar @parmarmina, @cllranjanapatel & Cllr Lynda Seymour #KeepingBelmontBlue",
7484,thecaseybyrne,Casey Byrne,Feel the Byrne | 20 🤷‍♂️ | Politics @uniofreading Member @conservatives @blue_beyond_ | #BeKind,
7491,caaggrey,C.A. Aggrey,"Advocate for Divinity and humankind; exponent of altruism, equity & balance. Eternally committed to The Great Commission and Prayer. Usual disclaimers.",
7531,iamwillie10,Collingwood’s Cat,if you can’t be friendly then it’s your issue not mine,
7564,Kelly_Hopkins,Hoppy,"bit-o-this bit-o-that…Some Cycling, Boxing, Running & Gym.....Toughmudder. Brentford FC season ticket holder #fuckingbrentford",
7593,TheAtticMan,The Attic Man 🇬🇧,"I 💙Jesus, guided by Holy Spirit, a believer of Gods bible but not religious, politically minded but not left. Views & opinions are mine only. Brexit no deal 🕊",
7612,lozpriceless,Lauren Price,,
7614,roddytherobot,Ray Rodden,"DEMOCRACY = Respect Brexit
Goverment OF the people, BY the people, FOR the people shall not perish from this land",
7715,Gttsbass,Carl Cook,Performer/Producer. Wolves FC/Arizona Cardinals.,2
7729,RichB321,RichB,,
7742,beingvick,विक्की महतो 🇮🇳,| REVENGE IS THE PUREST FORM OF EMOTION | #Swayamsevak 🇮🇳🇷🇺🇮🇱🇺🇸🕉️♉,
7771,GauravSinghvi,Gaurav Singhvi,"I can see some benefits after #Brexit, but getting better trade deals won’t be one of them. #Arsenal supporter. Instagram for travel: @gallivanting_gaurav",
7873,GeorgeAwalla,George Awalla,Social commentator  | Country Director VSO Kenya | Columnist Governor Magazine @thegovernormgz | fresh development perspectives. Views here are my own,2
7893,fcarenas,Felipe Castro Arenas,,2
7930,RachelAHollis,Rachel Hollis,Children's Cancer Nurse and Fellow of the Royal College of Nursing. Proud Trustee of @WChildCancer and @CLIC_Sargent.,1
7937,CllrLJones,Councillor Liam Jones,"Mayor and @Conservatives Councillor for Overton & Five crosses & chair of planning for @frodshamtc.  
CAD Technician @randlewhite & PT student @SalfordUni",
7947,kinshasaweb,🇨🇩✌🏾« Papa avait dit le peuple d’abord »✌🏾🇨🇩,Twitter officiel de https://t.co/R42GiHkP0w ..Mes tweets s'engagent vers l'Afrique... service@congo-kinshasaweb.net I #BBM: D87E3D28,
7948,clintonkojo3,@clintonojok,"Electrical Engineer in the making....
Open minded and positive 💭 towards new good ideas 💡 ,with the ability to learn fast",
7957,UKinMozambique,UK in Mozambique,"Official Twitter account of the British High Commission 🇬🇧in Maputo, Mozambique #UKaid

Follow High Commissioner @NneNneUK and HoDFID @VickySeymour109",
8005,MovementNesa,Nesa Movement,"#SNESA Its time we had our own State in the North, Manchester the Capital. The South has failed us.  First lets get out of Europe #IamSpartacus",
8007,SausageIzzy,Izzy Sausage,"Ginger, Dachshund,",
8030,Macetrain,Canibalalien 🇬🇧🇺🇸🇮🇱🏴󠁧󠁢󠁳󠁣🏴󠁧󠁢󠁷󠁬󠁳󠁿,Brexiteer and totally disenchanted with mainstream media retweets are not endorsement #brexitfollowback,
8040,craigrpegg,Craig,99% perfect 1% arsehole,2
8061,ritajb24,Rita Brown,"Retired, WRAF vet. Would be artist and pianist. Proms devotee .Animal & dog lover, especially my rescued Westie Max, and always a Welsh girl.",1
8071,Posthistoric19,Tim Turner,,2
8107,DAJOZ072129,DJ,"English, Jewish, LFC supporter who happens to be a Tory, hates antisemites and isn't keen on Socialism.",
8126,jamesb0w,james bow,"Father, husband, sales manager, runner, rugby and football fan",2
8200,sandieshoes,sandieshoes,We’re all leavers now. #Boris. Remainers I won’t be rehashing the same project fear arguments🙈Love animals & the Garden of England. No DM’s please.,
8261,phil_woods,phil woods,"Social revolutionary, iconoclast, horse rider and a member of the quiet ""Leave"" majority when it comes to the EU",2
8319,FlittonLucy,Lulu Flitton,"PhD research @staffsUni , influence of Nietzsche texts myths on Kandinsky, Int Psych /Jung.analysis, Psychologist, 19thc German Romantics, Visual arts, 🦋💜🦋",
8325,janisosborn,"janis osborn, Publisher",International Publisher for online Magazines. Marketing Specialist. Global experience.,
8361,grizzly712,freespeech,"Lifelong optimist who values people with a sense of humour and proportion. Dislikes all false gods, especially EU, socialism and political correctness.",
8364,Sunderland_CA,Sunderland Conservatives,We are Sunderland’s main voice of opposition to Labour. Join us 👉https://t.co/f6UKB0HllP,
8365,AReawakening,Mario Garcia,"Christian, Raised in a small New England village, Graduate of The Colorado College, U.S. Marine Corps Vietnam veteran, Constitutionist",2
8412,James36001058,James,,2
8441,RodBamberry,Rod Bamberry,"Cognitive Behavioural Psychotherapist & Counsellor, Executive Performance Coach, Trainer, Presenter, Public Speaker...”Everyone's Perspective is their Reality!”",
8481,kimberleypipet,JanetStead 🇿🇦 🦋🐝🐬 🇬🇧,"50+ yrs in South Africa, now observing the world from my eyrie in the Highlands of Scotland ~ liking & retweeting from all sides of the spectrum, organic crazy",
8497,bexibettyboo1,bexibettyboo,,
8567,nimrodog,nimrodog,"European -
Pro Democracy - Anti EU
International Trader (rtd)
Interests: Oil Gas Rare Earth Metals
Solar Hydrogen Economy
Molten Salts Reactors
Coal Bed Methane",
8598,ToryGeordie,Geordie Tory,Ordinary working person living in Newcastle supporting the Conservatives in Newcastle and the North East.,
8655,karenannelouis,"Karen Louis,",,1
8664,trueleaver,Judy Micklethwait,,1
8701,dauntlessfew,dauntless few,[chronology]born/son/laidback/conservative/vinyl-junkie/Christian/eurosceptic/married/kashrut🇮🇱/meat-free/libertarian/dad/hockey/relax/🇬🇧🇺🇸,
8725,dean62541136,Deano#BritishIndependence,"#BritishIndependence, INFJ, trying to make it through this life like everyone else!",
8782,arm_esther,Esther Arm,Trying to do my bit for democracy! Leave means leave!,1
8848,zacstenn,Zac S,,2
8874,Servellian,John Murcutt,,2
8892,dee_v_h,Dee H,#Britishindependence,
8920,PoundshopGuv,the Poundshop Guv’nor,"tweets to fulfil an otherwise dull existence working from home. if you consider yourself on the left, then i consider you to be a bit of a fascist.",
8923,Tony79780424,Tony 🇬🇧,"Patriot. Forces, Business Owner, Conservative, Brexit.",
8980,AnnRozier1,Anne,"Ainsi sera, groigne qui groigne (grumble all you like, this is how it’s going to be).",1
9023,chrismaxwell41,chris maxwell,NUFC .BOXING.F1.FAMILY.,2
9028,lesliemaruziva2,@lesliemaruziva,"dad, runner, politics, quins, gooner",
9051,Longcaseman,Michael Berry,"Antique Clock Restorer, Radio Ham & Brexiteer...",2
9095,Gerhardklaus5,Gerhard klaus,I am a me and i hope you’re you,2
9106,GordonSnowden1,Gordon Snowden,Likes & Retweets not a general endorsement,2
9124,quagmireisablue,Unredacted Blue,We'll see things they'll never see. A domestic Treble. what about you?,
9145,johnb75,john becker,,2
9160,MrBsRealityMrB1,Mr B’s@ Reality Mr B,Trying to retain my dignity and sense of humour during ‘Operation Brexit’ - getting harder by the day! No DM’s.,2
9175,Marg1340,Cllr Margaret Pendlebury 🇬🇧,"Conservative Councillor  for the Greenfield Ward, Haslingden.  Email: MargaretPendlebury@rossendalebc.gov.uk
All my opinions are my own. #RDCA
PS Love golf.",
9181,EileenDucksbury,Eileen & Ronny,"Farming, museums & cats. Some current affairs. Likes art & a bit of the surreal. Still a great big misunderstood bird...",
9241,hurryupharry,Harry's Place,"If liberty means anything at all, it means the right to tell people what they do not want to hear. contactharrysplace@gmail.com",
9258,Zak_Wagman,Zak Wagman,I tweet on politics (blue) and football (red). History student. Former council candidate. @Arsenal FC youth representative. 🇬🇧✡️🇮🇱,
9353,HMatthews44,Howard Matthews,,2
9376,SandraM73559799,SandraMay,"Born Birmingham, UK.
BA History Open University
BSc University of Maine in Augusta

Married to Dale McIntyre",1
9442,BevMcMillanNSDC,Beverley McMillan,housing options officer/older people/dementia champion at nsdc,
9447,pinder_chauhan,Cllr Pinder Chauhan,"Conservative | County Councillor, Sixfields | Northamptonshire | DC Political SNCA | School Governor | Instagram pinder_chauhan_conservative",
9489,AlanKer11753813,Alan Kerr,"Love Scotland & UK, Centre/Right views politically. Floating Voter(but probs/defo Tory inclined). I run a small business. I’m a Grandad.",2
9508,EyeballGriff,Paul Griffin,Armchair extraordinaire,2
9664,SealRoberta,Roberta Seal,,1
9782,LindaRi73391221,Linda Richards,"Ex archaeologist, historian, teacher. Presently mother, daughter, friend and allotment holder. Passionate about making things better, cats, gin and chocolate.",1
9813,Gregory51611485,Gregosh,🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿😎🍷🍻🏎,
9869,CllrBarryLewis,Barry Lewis,Conservative County Leader @Derbyshirecc Wingerworth & Shirland Division. English wine. Ex-archaeologist & communicator. Apparently a bit opinionated.,
9989,tom_pridham,Tom Pridham,Retired sommelier. Public Affairs Consultant. Tory.,2
10030,hotm_shaw,craig shaw,"He who dares wins, DJ, CNC & CAD",2
10056,MATT0880,Vile Gay Right Wing Tory 💁‍♂️,Right wing Conservative Englishman,
10060,EylesGeoff,Geoff Eyles 🇬🇧 FreeMelanieShaw #CleanBreakBrexit,Ex Army brat - retired Master Mariner. Retweets are not an endorsement !! 😐 WTO Brexit. #BritishIndependence,2
10096,EdsmumTracey,Tracey Saunders,"Happily married. Mum. Dog owner. Enjoy chatting, having fun, maths, baking & gardening. Raising awareness of #Meningitis",1
10108,101denboy,denboy101,brexit and leyton orient supporter white privileged Male worked 45 yrs never claimed a penny of the social 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧,
10124,albopastrami,albo pastrami,Who dares wins; unfortunately I rarely do.,
10157,Joshuamoreton,Josh Moreton,"Dyslexic, Politico - love Art, Suits and Coca Cola 📧 info@joshua-moreton.com 🏙",2
10210,Richlin11a,Silly Milly,"voted for DJ, SW, nearly for RK .I am totally for Anne Marie Waters #ForBritain",
10341,Wrongliner,Peter Elson,,2
10354,Peitho70,Louise,"Mum of 2 beautiful daughters, wife, Classical Liberal. Brexit. Political historian. Ex Parliamentary researcher.  No time for Communists/Marxists.",1
10373,vivmichael1966,Vivienne Michael,"Former Leader Mole Valley DC and Charity CEO; Consultant and Campaigner. Passionate about politics, football and Dylan (Bob and @dylanmichael77). Views my own.",1
10382,WelshConserv,Welsh Conservatives,Welsh Conservatives | Ceidwadwyr Cymreig 🏴󠁧󠁢󠁷󠁬󠁳󠁿,
10469,inglis_mrs,Alesandra Inglis,"supports CELTIC The choices we make, dictates the life we https://t.co/M51VJkf934 thy own self be true.",1
10472,481Dunford,Ian Stewart Dunford-Mackenzie,Old guy 3 heart attacks . Lived or worked in 40+ countries. Cynical but can be moved. Centre politics.,2
10524,carltontriumph,DKrzanicki,,
10603,StuartGlass6,Stuart Glass,"A friend also uses this Twitter account. 
I am also now getting involved more in political discussion. 
MOMENTUM fake accounts on here. if swearing, rude,them",2
